LOC_SYSTEM_OPTION_MENU_START,======OPTION======
LOC_SYSTEM_HIT_VEILING,{0} is cut by the wind armor.
LOC_SYSTEM_HIT_RUSH,{0} is struck.
LOC_SYSTEM_HIT_BUMP,{0} bumps into {1}.
LOC_SYSTEM_HIT_BUMP_WALL,{0} crashes into a wall.
LOC_SYSTEM_HIT_PSYCHO,{0} is slammed into the ground.
LOC_SYSTEM_HIT_DROWNING,{0} is drowning.
LOC_SYSTEM_HIT_DROWNING_MONSTER,{0} falls into the water.
LOC_SYSTEM_HIT_VAMP,{0} drains {1}’s HP.
LOC_SYSTEM_HIT_THROW_ELEC,{0} is electrocuted.
LOC_SYSTEM_HIT_CONFUSE_ATTACK,Your attack catches {0} off guard!
LOC_SYSTEM_HIT_STAB_SHORTBLADE,{0} stabs {1} from behind.
LOC_SYSTEM_HIT_STAB_LONGBLADE,{0} slashes {1} from behind.
LOC_SYSTEM_HIT_STAB_MACE,{0} smashes {1} from behind.
LOC_SYSTEM_HIT_STAB_AXE,{0} cleaves {1} from behind.
LOC_SYSTEM_HIT_STAB_SPEAR,{0} pierces {1} from behind.
LOC_SYSTEM_HIT_STAB_OTHER,{0} ambushes {1} from behind.
LOC_SYSTEM_NO_DAMAGE,No damage taken.
LOC_SYSTEM_BUT_NO_DAMAGE,But it dealt no damage.
LOC_SYSTEM_FRIEND_SHIELD,{0} shields {1}!
LOC_SYSTEM_MAMIZO_EVADE,{0} transforms into paper charms and evades the attack!
LOC_SYSTEM_KILL_NORMAL,{0} kills {1}.
LOC_SYSTEM_KILL_INANIMATE,{0} destroys {1}.
LOC_SYSTEM_DEAD_NORMAL,{0} dies.
LOC_SYSTEM_DEAD_INANIMATE,{0} is destroyed.
LOC_SYSTEM_DEAD_DOOR,{0} returns to being an ordinary door.
LOC_SYSTEM_DEAD_SUMMON,{0} vanishes into smoke.
LOC_SYSTEM_DEAD_REIMU,{0} slips into the gap.
LOC_SYSTEM_GAIN_EXPERIENCE,You feel your experience grow.
LOC_SYSTEM_GAIN_NO_EXPERIENCE_WITH_FEAR,No experience gained from enemies that lost the will to fight.
LOC_SYSTEM_NOTE_UNIQUE_FIND,You’ve encountered the named foe: {0}.
LOC_SYSTEM_NOTE_UNIQUE_KILL,You’ve slain the named foe: {0}.
LOC_SYSTEM_NOTE_UNIQUE_DEAD,The named foe {0} has died.
LOC_SYSTEM_NOTE_ENSLAVE_DEAD,{0} has died.
LOC_SYSTEM_NOTE_INVITE_FAIRY_UNIQUE,{0} has joined as an ally.
LOC_SYSTEM_NOTE_INVITE_FAIRY,{0} ({1}) has joined as an ally.
LOC_SYSTEM_NOTE_GOD_WORSHIP,You have become a follower of {0}.
LOC_SYSTEM_NOTE_GOD_GIVEUP,You have renounced {0}.
LOC_SYSTEM_NOTE_GOD_FORGIVE,You have been forgiven by {0}.
LOC_SYSTEM_NOTE_GOD_ABANDON,You abandoned {0}.
LOC_SYSTEM_NOTE_GOD_ABANDONED,You were abandoned by {0}.
LOC_SYSTEM_NOTE_YUYUKO_ENSLAVE_GHOST,You have bound {0}.
LOC_SYSTEM_NOTE_SEIJA_GIFT,You received a gift from Seija. ({0})
LOC_SYSTEM_NOTE_JUNKO_PURIFICATION_ITEM,Blessing of purification from Junko: {0}
LOC_SYSTEM_NOTE_RUN_AWAY,Fled toward {0}.
LOC_SYSTEM_NOTE_DEAD,You have died.
LOC_SYSTEM_NOTE_DEAD_BY,Killed by {0}.
LOC_SYSTEM_NOTE_DEAD_HUNGRY,Died of starvation.
LOC_SYSTEM_NOTE_DEAD_QUIT,Gave up the game.
LOC_SYSTEM_NOTE_DEAD_ESCAPE,Escaped from the dungeon.
LOC_SYSTEM_NOTE_DEAD_POISON,Died from poison.
LOC_SYSTEM_NOTE_DEAD_EFFECT,Died from side effects.
LOC_SYSTEM_REPLAY_TITLE,{0}, Level {1} {2} {3} {4} "{5}"
LOC_SYSTEM_REPLAY_TITLE_ARENA,Arena Level {0} "{1}"
LOC_SYSTEM_REPLAY_TITLE_SPRINT,Sprint
LOC_SYSTEM_UNIQUE_BENYATH_RAGE,{0} lets out a roar of rage and awakens their true power!
LOC_SYSTEM_UNIQUE_BENYATH_RAGE_DISTANCE,You hear a furious scream in the distance.
LOC_SYSTEM_UNIQUE_KEINE_TRANSFORM,Wounded Keine transforms into a White-Haired Beast!
LOC_SYSTEM_TENSI_GOOD1,Tenshi gives you a friendly glance.
LOC_SYSTEM_TENSI_GOOD2,Tenshi's power reaches you.
LOC_SYSTEM_TENSI_GOOD3,Tenshi: You look like you're struggling!
LOC_SYSTEM_TENSI_GOOD4,Tenshi: Let me help you!
LOC_SYSTEM_TENSI_GOOD5,You hear Tenshi's laughter.
LOC_SYSTEM_TENSI_GOOD6,Tenshi watches you with great interest.
LOC_SYSTEM_TENSI_GOOD7,You hear Tenshi clapping.
LOC_SYSTEM_TENSI_GOOD8,You feel a pleasant energy surrounding you.
LOC_SYSTEM_TENSI_GOOD9,Tenshi: Make it more fun!
LOC_SYSTEM_TENSI_GOOD10,Tenshi: You’re not done yet, are you?
LOC_SYSTEM_TENSI_GOOD11,Tenshi: You got this!
LOC_SYSTEM_TENSI_GOOD12,You are blessed with Tenshi’s overwhelming power.
LOC_SYSTEM_TENSI_GOOD13,Tenshi watches your adventure with excitement.
LOC_SYSTEM_TENSI_BAD1,You feel Tenshi’s wicked gaze.
LOC_SYSTEM_TENSI_BAD2,Tenshi starts to laugh.
LOC_SYSTEM_TENSI_BAD3,Tenshi finds your adventure boring.
LOC_SYSTEM_TENSI_BAD4,Tenshi: How about this, then?
LOC_SYSTEM_TENSI_BAD5,Tenshi: Let’s spice things up!
LOC_SYSTEM_TENSI_BAD6,Tenshi: Isn’t it a little too peaceful?
LOC_SYSTEM_TENSI_BAD7,You hear Tenshi’s mischievous giggle.
LOC_SYSTEM_TENSI_BAD8,Tenshi seems ready to challenge you.
LOC_SYSTEM_TENSI_BAD9,Tenshi: Better than being boring, right?
LOC_SYSTEM_TENSI_BAD10,Tenshi: Get angrier!
LOC_SYSTEM_TENSI_BAD11,Tenshi: If you don’t give it your all, you might die!
LOC_SYSTEM_TENSI_BAD12,Tenshi: How arrogant!
LOC_SYSTEM_TENSI_BAD13,Tenshi: You’re boring me!
LOC_SYSTEM_TENSI_BAD14,Tenshi: Aren’t you a little *too* strong?
LOC_SYSTEM_TENSI_BAD15,Tenshi: I *hate* playing it safe!
LOC_SYSTEM_TENSI_NOTHING1,A small rock flies in and hits you on the head.
LOC_SYSTEM_TENSI_NOTHING2,The ground suddenly trembles.
LOC_SYSTEM_TENSI_NOTHING3,Tenshi: Wanna have a chat with me?
LOC_SYSTEM_TENSI_NOTHING4,Tenshi: What's your favorite food?
LOC_SYSTEM_TENSI_NOTHING5,Tenshi: Life in Heaven is *so* boring!
LOC_SYSTEM_TENSI_NOTHING6,Tenshi: Be a little bolder, will you?
LOC_SYSTEM_TENSI_NOTHING7,Tenshi: I wanna see something *fun*!
LOC_SYSTEM_TENSI_NOTHING8,Tenshi: You know, I could make this *way* more exciting.
LOC_SYSTEM_TENSI_NOTHING9,Tenshi: Don’t you dare bore me, okay?
LOC_SYSTEM_TENSI_NOTHING10,You nearly trip over a sharp rock—then hear someone giggling.
LOC_SYSTEM_TENSI_NOTHING11,A jagged keystone drops right beside you. “So close~!”
LOC_SYSTEM_TENSI_NOTHING12,Tenshi: Watching sacrifices from up here is my favorite pastime!
LOC_SYSTEM_TENSI_NOTHING13,Tenshi: You're not gonna die *that* fast, right? Hang in there a bit longer!
LOC_SYSTEM_TENSI_NOTHING14,Tenshi: Hey, hey—wanna bet how you'll die?
LOC_SYSTEM_TENSI_NOTHING15,Tenshi: That kid I watched last time? Got killed by {0}.
LOC_SYSTEM_TENSI_NOTHING16,Tenshi: Why is {0} so {tough|adorable}, huh?
LOC_SYSTEM_TENSI_NOTHING17,Tenshi: Just wait a little~ I’m setting up a surprise party!
LOC_SYSTEM_TENSI_NOTHING18,A pebble hits you right on the forehead.
LOC_SYSTEM_TENSI_NOTHING19,Tenshi: Tell me a fun story or something!
LOC_SYSTEM_TENSI_NOTHING20,Tenshi is plotting how best to mess with you.
LOC_SYSTEM_TENSI_NOTHING21,Tenshi yawns, clearly bored.
LOC_SYSTEM_TENSI_POTION1,Tenshi grants you newfound strength.
LOC_SYSTEM_TENSI_POTION2,Tenshi: Aren’t you thirsty?
LOC_SYSTEM_TENSI_POTION3,Tenshi: Use this and keep fighting!
LOC_SYSTEM_TENSI_POTION4,Tenshi blesses you with another power boost.
LOC_SYSTEM_TENSI_POTION5,You receive a potion sent down by Tenshi.
LOC_SYSTEM_TENSI_BAD_POTION1,Tenshi’s laughter echoes in your mind.
LOC_SYSTEM_TENSI_BAD_POTION2,Tenshi: Found this potion in a corner of my family’s storage!
LOC_SYSTEM_TENSI_BAD_POTION3,Tenshi: This is your punishment!
LOC_SYSTEM_TENSI_BAD_POTION4,Tenshi: A special drink I made just for you~
LOC_SYSTEM_TENSI_BAD_POTION5,Tenshi forces a potion down your throat.
LOC_SYSTEM_TENSI_SUMMON1,Tenshi grants you an ally from above.
LOC_SYSTEM_TENSI_SUMMON2,Tenshi: Need a friend?
LOC_SYSTEM_TENSI_SUMMON3,Tenshi: Reinforcements—incoming!
LOC_SYSTEM_TENSI_SUMMON4,Tenshi: Now you don’t have to run away, right?
LOC_SYSTEM_TENSI_SUMMON5,Tenshi summons friendly spirits around you.
LOC_SYSTEM_TENSI_BAD_SUMMON1,Tenshi sends down a hostile summon to test you.
LOC_SYSTEM_TENSI_BAD_SUMMON2,Tenshi: If you won’t fight... then I’ll make you fight!
LOC_SYSTEM_TENSI_BAD_SUMMON3,Tenshi: I wanna see how strong you’ve gotten!
LOC_SYSTEM_TENSI_BAD_SUMMON4,Tenshi: You’re getting a bit too cocky, don’t you think?
LOC_SYSTEM_TENSI_BAD_SUMMON5,You feel Tenshi’s wicked gaze.
LOC_SYSTEM_TENSI_TELE1,Tenshi distorts the space around you.
LOC_SYSTEM_TENSI_TELE2,Tenshi: It’s safer over there!
LOC_SYSTEM_TENSI_TELE3,Tenshi: How about a quick breather?
LOC_SYSTEM_TENSI_TELE4,Tenshi: Found you a cozy place to rest!
LOC_SYSTEM_TENSI_TELE5,You feel space begin to warp.
LOC_SYSTEM_TENSI_BAD_TELE1,Tenshi flings you somewhere else.
LOC_SYSTEM_TENSI_BAD_TELE2,Tenshi: This place is way cooler!
LOC_SYSTEM_TENSI_BAD_TELE3,Tenshi: Let me show you somewhere more *fun*!
LOC_SYSTEM_TENSI_BAD_TELE4,Tenshi: Boring~ Time to shake things up!
LOC_SYSTEM_TENSI_BAD_TELE5,Your vision spins wildly.
LOC_SYSTEM_TENSI_EARHQUAKE1,You feel the earth overturn beneath you.
LOC_SYSTEM_TENSI_EARHQUAKE2,Tenshi: Shatter!
LOC_SYSTEM_TENSI_EARHQUAKE3,Tenshi: *Car crash!* (CRACK!)
LOC_SYSTEM_TENSI_EARHQUAKE4,Tenshi: It’s an earthquake!
LOC_SYSTEM_TENSI_EARHQUAKE5,A massive earthquake erupts!
LOC_SYSTEM_TENSI_SUPERARMOR1,You feel your body harden like stone.
LOC_SYSTEM_TENSI_SUPERARMOR2,Tenshi: Wanna try this peach?
LOC_SYSTEM_TENSI_SUPERARMOR3,Tenshi: It’s the power of a celestial!
LOC_SYSTEM_TENSI_SUPERARMOR4,Tenshi: Getting hit won’t even hurt anymore!
LOC_SYSTEM_TENSI_SUPERARMOR5,Tenshi grants you the power of a mind free from thought.
LOC_SYSTEM_TENSI_BURST1,Tenshi: Boom!
LOC_SYSTEM_TENSI_BURST2,Tenshi: Careful not to get caught in that!
LOC_SYSTEM_TENSI_BURST3,Tenshi: How about *this*?
LOC_SYSTEM_TENSI_WEAPON1,A red aura begins to gather in your hands.
LOC_SYSTEM_TENSI_WEAPON2,Tenshi: That weapon looks lame!
LOC_SYSTEM_TENSI_WEAPON3,Tenshi: Just borrowing it for a bit!
LOC_SYSTEM_TENSI_WEAPON4,Tenshi: Now you won't lose to anyone!
LOC_SYSTEM_TENSI_WEAPON5,Tenshi: This is a secret, okay? Don’t tell anyone!
LOC_SYSTEM_TENSI_WEAPON6,Tenshi: Do I *have* to return it?
LOC_SYSTEM_TENSI_WEAPON7,Tenshi: If I get caught, Iku's gonna yell at me...
LOC_SYSTEM_TENSI_KANAME1,Tenshi sends reinforcements to your side.
LOC_SYSTEM_TENSI_KANAME2,Tenshi: With this, you won’t lose, right?
LOC_SYSTEM_TENSI_KANAME3,Tenshi: They’re my favorite little cuties!
LOC_SYSTEM_TENSI_KANAME4,Tenshi: Ever heard of a *pet rock*?
LOC_SYSTEM_TENSI_KANAME5,Tenshi: Handle them with care!
LOC_SYSTEM_TENSI_KANAME6,Tenshi: Kaname Funnels—go!
LOC_SYSTEM_TENSI_BAD_KANAME1,Tenshi: You might wanna step back.
LOC_SYSTEM_TENSI_BAD_KANAME2,Tenshi: Ever slept on a *rock bed*?
LOC_SYSTEM_TENSI_BAD_KANAME3,Tenshi: My rocks don’t bite… but they *do* shoot!
LOC_SYSTEM_TENSI_BAD_KANAME4,Tenshi: Let’s see if you can survive *here*!
LOC_SYSTEM_TENSI_BAD_KANAME5,Tenshi: Just made this new spell card—wanna help me test it?
LOC_SYSTEM_TENSI_BAD_KANAME6,Tenshi: How about some target practice? You're the target, of course!
LOC_SYSTEM_TENSI_FIELD1,You feel a great barrier forming around you.
LOC_SYSTEM_TENSI_FIELD2,Tenshi: Need a new battlefield?
LOC_SYSTEM_TENSI_FIELD3,Tenshi: Looks way more fun to fight *here*!
LOC_SYSTEM_TENSI_FIELD4,Tenshi: I’m pitching a tent—mind lending a hand?
LOC_SYSTEM_TENSI_FIELD5,Tenshi: Want to try fighting in better conditions?
LOC_SYSTEM_TENSI_BLIND1,Tenshi: I’m gonna nap—can you dim the lights?
LOC_SYSTEM_TENSI_BLIND2,Tenshi: Isn’t it *way* too bright?
LOC_SYSTEM_TENSI_BLIND3,Tenshi: Don’t you think this’ll be more *fun*?
LOC_SYSTEM_TENSI_BLIND4,Tenshi: What you see isn’t always the truth!
LOC_SYSTEM_TENSI_DEBUFF1,Tenshi manipulates the flow around you.
LOC_SYSTEM_TENSI_DEBUFF2,Tenshi: If you still lose after all this… you better be ready.
LOC_SYSTEM_TENSI_DEBUFF3,Tenshi: I’m in a good mood today, so here’s a special gift!
LOC_SYSTEM_TENSI_DEBUFF4,Tenshi: This one’s more like… making your enemies *look* slow?
LOC_SYSTEM_TENSI_DEBUFF5,Tenshi: Think this’ll be enough?
LOC_SYSTEM_TENSI_DEBUFF6,Tenshi: You all move like slugs!
LOC_SYSTEM_TENSI_SUCIDE1,Tenshi: Let me introduce you to some *fun* friends!
LOC_SYSTEM_TENSI_SUCIDE2,Tenshi: They’re nice folks—aside from being a bit... *aggressive*!
LOC_SYSTEM_TENSI_SUCIDE3,Tenshi: Do you like explosions?
LOC_SYSTEM_TENSI_SUCIDE4,Tenshi: Brave, sure—but they don’t really watch out for allies.
LOC_SYSTEM_TENSI_SUCIDE5,Tenshi: Play nice together, even if it’s just for a moment!
LOC_SYSTEM_TENSI_SUCIDE6,Tenshi: I don’t really get suicide charges... Do they follow some weird faith or something?
LOC_SYSTEM_TENSI_SUCIDE7,Tenshi: Nothing clears a room like this!
LOC_SYSTEM_TENSI_FOG1,Tenshi: Today’s forecast—thick fog!
LOC_SYSTEM_TENSI_FOG2,Tenshi: I don’t really like foggy days.
LOC_SYSTEM_TENSI_FOG3,Tenshi: Can you even fight in this weather?
LOC_SYSTEM_TENSI_FOG4,Tenshi: Ugh, it’s all damp and dark!
LOC_SYSTEM_TENSI_FOG5,Tenshi: Perfect weather to stay hidden!
LOC_SYSTEM_TENSI_FOG6,Tenshi: Weather manifestation—activate!
LOC_SYSTEM_TENSI_THUNDER1,Tenshi: Today’s weather—heavy thunder and lightning!
LOC_SYSTEM_TENSI_THUNDER2,Tenshi: Let’s make this flashy!
LOC_SYSTEM_TENSI_THUNDER3,Tenshi: What’s the chance you’ll get struck?
LOC_SYSTEM_TENSI_THUNDER4,Tenshi: Yeah… you’re not dodging *this* one.
LOC_SYSTEM_TENSI_THUNDER5,Tenshi: Hope you’re wearing something non-conductive!
LOC_SYSTEM_TENSI_THUNDER6,Tenshi: *Boom! Boom! Rumble!*
LOC_SYSTEM_TENSI_THUNDER7,Tenshi: O blade of the storm—gather thunder from the skies!
LOC_SYSTEM_TENSI_SUN1,Tenshi: Today’s forecast—clear skies and blazing sun!
LOC_SYSTEM_TENSI_SUN2,Tenshi: How is sunlight even reaching the dungeon? Eh, who cares!
LOC_SYSTEM_TENSI_SUN3,Tenshi: Who could possibly hide under sunlight like this?
LOC_SYSTEM_TENSI_SUN4,Tenshi: Gotta dry some laundry real quick!
LOC_SYSTEM_TENSI_SUN5,Tenshi: Sunlight—shine!
LOC_SYSTEM_TENSI_SUN6,Tenshi: The Sword of Hisou can do this too!
LOC_SYSTEM_TENSI_SUN7,Tenshi: Today’s perfect for a picnic!
LOC_SYSTEM_TENSI_BRAND_WEAPON,The aura of Hisou surges from {0}.
LOC_SYSTEM_TENSI_MORE_BRAND_WEAPON,{0} is further empowered by the force of Hisou.
LOC_SYSTEM_PLAYER_REIMU,Reimu
LOC_SYSTEM_PLAYER_MARISA,Marisa
LOC_SYSTEM_PLAYER_SANAE,Sanae
LOC_SYSTEM_PLAYER_MOMIZI,Momiji
LOC_SYSTEM_PLAYER_KOISHI,Koishi
LOC_SYSTEM_PLAYER_MOKOU,Mokou
LOC_SYSTEM_PLAYER_NITORI,Nitori
LOC_SYSTEM_PLAYER_SUNNY,Sunny
LOC_SYSTEM_PLAYER_STAR,Star
LOC_SYSTEM_PLAYER_LUNA,Luna
LOC_SYSTEM_ATT_NORMAL,Attack
LOC_SYSTEM_ATT_CLAW,Claw
LOC_SYSTEM_ATT_BITE,Bite
LOC_SYSTEM_ATT_SMASH,Smash
LOC_SYSTEM_ATT_BODYCHECK,Shoulder Bash
LOC_SYSTEM_ATT_DRILL,Drill
LOC_SYSTEM_ATT_DRAIN,Drain
LOC_SYSTEM_ATT_TORCH,Torch
LOC_SYSTEM_ATT_DREAM,Dream
LOC_SYSTEM_ATT_VENOM_TEETH,Venom Fangs
LOC_SYSTEM_ATT_PECK,Peck
LOC_SYSTEM_ATT_HAKUROUKEN,Hakurouken
LOC_SYSTEM_ATT_ROUKANKEN,Roukanken
LOC_SYSTEM_ATT_HEADBUTT,Headbutt
LOC_SYSTEM_ATT_SICKLE,Sickle
LOC_SYSTEM_ATT_ROBE,Sleeve
LOC_SYSTEM_ATT_CLEAVER,Cleaver
LOC_SYSTEM_ATT_FAN,Fan
LOC_SYSTEM_ATT_FIRE,Fire
LOC_SYSTEM_ATT_COLD,Cold
LOC_SYSTEM_ATT_POISON,Poison
LOC_SYSTEM_ATT_VENOM,Venom
LOC_SYSTEM_ATT_CONFUSE_POISON,Stink Bomb
LOC_SYSTEM_ATT_CRUNCH,Crunch
LOC_SYSTEM_ATT_FIRE_SWORD,Flame Blade
LOC_SYSTEM_ATT_ELEC_SWORD,Thunder Blade
LOC_SYSTEM_ATT_ELEC,Shock
LOC_SYSTEM_ATT_THUNDER,Lightning
LOC_SYSTEM_ATT_DISH,Dish
LOC_SYSTEM_ATT_MAGIC_BOMB,Magic Bomb
LOC_SYSTEM_ATT_STONE_TACK,Stone Tacks
LOC_SYSTEM_ATT_SUN,Sunlight
LOC_SYSTEM_ATT_EARTHQUAKE,Earthquake
LOC_SYSTEM_ATT_V_FIRE,Sea of Fire
LOC_SYSTEM_ATT_V_METAL,Iron Thorns
LOC_SYSTEM_ATT_V_AIR,Gale
LOC_SYSTEM_ATT_V_EARTH_SHOT,Rock Shot
LOC_SYSTEM_ATT_V_EARTH_FRAG,Rock Shards
LOC_SYSTEM_ATT_BACKSTAB,Backstab
LOC_SYSTEM_ATT_GIANTSWING,Giant Swing
LOC_SYSTEM_ATT_GERMANSUPLEX,German Suplex
LOC_SYSTEM_ATT_MIMA_MAGIC,Magic
LOC_SYSTEM_ATT_MIMA_FIRE_MAGIC,Fire Magic
LOC_SYSTEM_ATT_MIMA_EARTH_MAGIC,Earth Magic
LOC_SYSTEM_ATT_MIMA_ELEC_MAGIC,Electric Magic
LOC_SYSTEM_ATT_MIMA_POISION_MAGIC,Venom Magic
LOC_SYSTEM_ATT_MIMA_ICE_MAGIC,Ice Magic
LOC_SYSTEM_ATT_MIMA_CONJURE_MAGIC,Arcane Power
LOC_SYSTEM_ATT_STONE_PUNCH,Stone Fist
LOC_SYSTEM_ATT_DROWN,Drowning
LOC_SYSTEM_ATT_LAVA,Lava
LOC_SYSTEM_ATT_RUSH,Rush
LOC_SYSTEM_ATT_WATERGUN,Water Gun
LOC_SYSTEM_ATT_DOOR,Door
LOC_SYSTEM_ATT_TANMAC,Danmaku
LOC_SYSTEM_ATT_SION,Sion
LOC_SYSTEM_ATT_FIRECRAKER,Firecracker
LOC_SYSTEM_ATT_SHOCKWAVE,Shockwave
LOC_SYSTEM_ATT_KIKU_SPRAY,Water Spray
LOC_SYSTEM_ATT_CURSE,Curse
LOC_SYSTEM_ATT_BURN,Flame
LOC_SYSTEM_ATT_POISONTANMAC,Poison Danmaku
LOC_SYSTEM_ATT_COLDBEAM,Freeze Beam
LOC_SYSTEM_ATT_SMITE,Smite
LOC_SYSTEM_ATT_ELECTRIC,Electric
LOC_SYSTEM_ATT_FIREBALL,Fireball
LOC_SYSTEM_ATT_WATERPRESSURE,Water Pressure
LOC_SYSTEM_ATT_NOISE,Blast Noise
LOC_SYSTEM_ATT_FIRESTORM,Firestorm
LOC_SYSTEM_ATT_CRASH,Crash
LOC_SYSTEM_ATT_LASER,Laser
LOC_SYSTEM_ATT_STONE,Stone
LOC_SYSTEM_ATT_ROCK,Boulder
LOC_SYSTEM_ATT_KANAMEDRILL,Kaname Drill
LOC_SYSTEM_ATT_BURST,Burst
LOC_SYSTEM_ATT_SUICIDE,Self-Destruct
LOC_SYSTEM_ATT_SPARK,Spark
LOC_SYSTEM_ATT_LIGHTTANMAC,Light Danmaku
LOC_SYSTEM_ATT_BULLET,Bullet
LOC_SYSTEM_ATT_BLOOD_STARE,Blood Stare
LOC_SYSTEM_ATT_YINYANG_TANMAC,Yin-Yang Danmaku
LOC_SYSTEM_ATT_SEAOFFIRE,Sea of Fire
LOC_SYSTEM_ATT_LEAP,Leap
LOC_SYSTEM_ATT_AIRSTRIKE,Bullet of Wind
LOC_SYSTEM_ATT_MACROBURST,Macroburst
LOC_SYSTEM_ATT_EMERALD,Emerald
LOC_SYSTEM_ATT_SHORT_LIFE_EXPECTACNY,Short Lifespan
LOC_SYSTEM_ATT_PSYCHOKINESIS,Psychokinesis
LOC_SYSTEM_ATT_HYPERBEAM,Hyper Beam
LOC_SYSTEM_ATT_SWORD,Sword
LOC_SYSTEM_ATT_KNIFE,Knife
LOC_SYSTEM_ATT_THROWING_ATLAS,Thousand-Handed Toss
LOC_SYSTEM_ATT_BILL,Talisman
LOC_SYSTEM_ATT_DIMENSIONAL_RIFT,Dimensional Rift
LOC_SYSTEM_THAT,That
LOC_SYSTEM_SOMETHING,Something
LOC_SYSTEM_FIND_ONE,Found {0}.
LOC_SYSTEM_FIND_TWO,Found {0} and {1}.
LOC_SYSTEM_FIND_THREE,Found {0}, {1}, and {2}.
LOC_SYSTEM_FIND_MANY,Found several items.
LOC_SYSTEM_EVENT_KISME_DROP,Kisume dropped from the sky!
LOC_SYSTEM_EVENT_LUNATIC_TIME,It’s LUNATIC TIME!!
LOC_SYSTEM_EVENT_KOGASA_DROP,Kogasa dropped from the sky!
LOC_SYSTEM_EVENT_KOGASA_DROP2,...But Kogasa landed headfirst on the ground.
LOC_SYSTEM_EVENT_DREAM_OPEN1,The dream world begins to expand! Sleeping enemies are waking up!
LOC_SYSTEM_EVENT_DREAM_OPEN2,The dream world continues to grow...
LOC_SYSTEM_EVENT_DREAM_OPEN3,The dream world expands once more! Its denizens have noticed you!
LOC_SYSTEM_EVENT_DREAM_OPEN4,Most of the dream world has opened! Monsters will soon flood in!
LOC_SYSTEM_EVENT_DREAM_OPEN5,The dream world is fully open! Enter the portal to the moon as soon as possible!
LOC_SYSTEM_EVENT_MARY_SAN1,It’s me, Mary-san.
LOC_SYSTEM_EVENT_MARY_SAN2,I’m right behind
LOC_SYSTEM_EVENT_MARY_SAN3,you...
LOC_SYSTEM_EVENT_MARY_SAN_FAIL,...You can’t see me, but I’m here.
LOC_SYSTEM_EVENT_RUN_TRHEEFAIRY,{0} shouted, "Run for it!"
LOC_SYSTEM_EVENT_SCALET_TRAP,Defensive magic circle activated. Eliminate the intruder!
LOC_SYSTEM_EVENT_KOGASA_TIME1,It's SURPRISE TIME!!
LOC_SYSTEM_EVENT_KOGASA_TIME2,...But Kogasa senses something went wrong.
LOC_SYSTEM_EVENT_HOJOK1,{0} shouted, "I'll finish this!"
LOC_SYSTEM_EVENT_HOJOK2,{0} shouted, "Leave it to me!"
LOC_SYSTEM_EVENT_KOGASA_SMOKE1,{0} shouted, "I'll get you—*cough cough!*"
LOC_SYSTEM_EVENT_KOGASA_SMOKE2,...Looks like Kogasa inhaled too much of her own smoke.
LOC_SYSTEM_EVENT_SION_ITEM,Item
LOC_SYSTEM_EVENT_SION_ITEM_DELETE,{0} vanished as you got too close.
LOC_SYSTEM_EVENT_SION_ITEMS_DELETE,Items vanished as you got too close.
LOC_SYSTEM_MON_DREAM_UNIQUE,Dream Dweller {0}
LOC_SYSTEM_EVOKE_DREAM_SOUL,You have evoked the dream of {0}!
LOC_SYSTEM_TRIBE_HUMAN,Human
LOC_SYSTEM_TRIBE_WIZARD,Witch
LOC_SYSTEM_TRIBE_FAIRY,Fairy
LOC_SYSTEM_TRIBE_CROWTENGU,Crow Tengu
LOC_SYSTEM_TRIBE_WOLFTENGU,Wolf Tengu
LOC_SYSTEM_TRIBE_KAPPA,Kappa
LOC_SYSTEM_TRIBE_NECOMATA,Nekomata
LOC_SYSTEM_TRIBE_OARFISH,Messenger of the Dragon Palace
LOC_SYSTEM_TRIBE_CHEUKUMOGAMI,Tsukumogami
LOC_SYSTEM_TRIBE_ONI,Oni
LOC_SYSTEM_TRIBE_HALFYOUKAI,Half-Youkai
LOC_SYSTEM_TRIBE_WRAITH,Wraith
LOC_SYSTEM_TRIBE_VAMPIRE,Vampire
LOC_SYSTEM_TRIBE_YOUKAI,Youkai
LOC_SYSTEM_JOB_WARRIOR,Warrior
LOC_SYSTEM_JOB_WIZARD,Magician
LOC_SYSTEM_JOB_SHAMAN,Shrine Maiden
LOC_SYSTEM_JOB_GLADIATOR,Gladiator
LOC_SYSTEM_JOB_MONK,Martial Artist
LOC_SYSTEM_JOB_CRUSADER,Spellblade
LOC_SYSTEM_JOB_BERSERKER,Berserker
LOC_SYSTEM_JOB_FIRE_WIZARD,Pyromancer
LOC_SYSTEM_JOB_COLD_WIZARD,Cryomancer
LOC_SYSTEM_JOB_EARTH_WIZARD,Geomancer
LOC_SYSTEM_JOB_AIR_WIZARD,Aeromancer
LOC_SYSTEM_JOB_SUMMON_WIZARD,Summoner
LOC_SYSTEM_JOB_ALCHEMIST,Alchemist
LOC_SYSTEM_JOB_PSYCHOLOGIST,Psychologist
LOC_SYSTEM_JOB_REAPER,Reaper
LOC_SYSTEM_JOB_FANATIC,Fanatic
LOC_SYSTEM_JOB_ASSASSIN,Assassin
LOC_SYSTEM_JOB_FARMER,Farmer
LOC_SYSTEM_JOB_MADE,Maid
LOC_SYSTEM_JOB_ENGINEER,Engineer
LOC_SYSTEM_JOB_MISSING,Missing Person
LOC_SYSTEM_TILE_UNKNOWN,Unknown
LOC_SYSTEM_TILE_FLOOR,Floor
